customer_id,first_name,last_name,full_name,age,gender,email,phone,address,city,state,zip_code,registration_date
CUST_000001,Angela,Tyler,Angela Tyler,72,F,atyler@johns.info,+1-485-794-4621x504,95516 Shannon Vista,Smithside,ND,94318,2024-12-27
CUST_000002,Cathy,Wheeler,Cathy Wheeler,70,M,cathy_wheeler@gmail.com,(618)652-1865x772,784 Diane Centers,Jenningsmouth,AL,67517,2021-07-29
CUST_000003,Carly,Jackson,Carly Jackson,41,O,carly.jackson@crawford.biz,+1-711-753-0915x087,81723 Chung Islands,Lake Brian,NH,92212,2024-08-27
CUST_000004,Anthony,Tucker,Anthony Tucker,57,O,anthony.tucker@knight-smith.com,783-499-4056,90102 Bright Locks Apt. 319,Lake Kimberly,KS,32174,2024-09-03
CUST_000005,Amy,Hoover,Amy Hoover,49,M,ahoover@wilkinson.com,464.940.9395x833,4899 William Greens Suite 855,East Josephmouth,TN,80870,2021-04-26
CUST_000006,Jacob,Price,Jacob Price,64,M,jacob_price@gmail.com,5964634400,7282 Scott Walks,Grayburgh,IN,68902,2021-05-24
CUST_000007,Daniel,Winters,Daniel Winters,61,O,daniel_winters@hotmail.com,+1-230-895-0302x8509,11458 Sandra Corners Apt. 217,East Scottview,AZ,44574,2025-04-13
CUST_000008,Meghan,Clark,Meghan Clark,38,O,mclark@colon.com,750.407.4615,4051 Jennifer Loop Apt. 839,Christopherberg,IL,58942,2021-06-03
CUST_000009,Nicholas,Mason,Nicholas Mason,64,F,nmason@perry.biz,791-793-1910,6479 Adams Pike,Davidmouth,OH,82214,2022-05-29
CUST_000010,Allison,Lee,Allison Lee,80,O,alee@odonnell.com,(742)415-9658x28275,52374 Smith Squares,Pooleview,PA,21016,2021-09-25
CUST_000011,Donald,Cameron,Donald Cameron,40,O,donald.cameron@king.com,(602)550-7840,184 Timothy Mountain Suite 532,West Rogerton,NE,11344,2021-08-16
CUST_000012,Christian,Hoffman,Christian Hoffman,46,O,christian_hoffman@yahoo.com,378.560.5518x525,95956 Daniel Circles Apt. 596,New Jennifer,TN,46631,2025-03-19
CUST_000013,Kristin,Levy,Kristin Levy,38,M,kristinlevy@gmail.com,912.626.1924x504,718 Cabrera Parkway Apt. 409,New Angelaville,MN,82888,2022-01-02
CUST_000014,Ernest,Jenkins,Ernest Jenkins,20,M,ejenkins@walker.com,+1-686-643-8586,0796 Dickson Forges Suite 572,Oliviamouth,AK,29500,2022-01-21
CUST_000015,Daniel,Turner,Daniel Turner,72,O,daniel.turner@jackson-phillips.net,534.484.8758x2775,3820 Greene Plain,Kariville,DE,05508,2022-02-12
CUST_000016,Kevin,Gonzalez,Kevin Gonzalez,18,M,kevin_gonzalez@gmail.com,395-664-5853x6034,008 Evans Fort,North Caitlynburgh,HI,73596,2023-07-17
CUST_000017,Joseph,Rhodes,Joseph Rhodes,37,M,jrhodes@ward.com,703-590-6966x57837,2730 Angela Alley,West Biancafurt,MS,52789,2025-07-24
CUST_000018,Jacob,Mcclure,Jacob Mcclure,28,F,jacob.mcclure@carter.net,503.692.8362,698 Wendy Oval Apt. 299,Ritterfort,WY,95468,2021-07-17
CUST_000019,Kelly,Jarvis,Kelly Jarvis,23,O,kelly.jarvis@maldonado-tran.com,(219)401-0207,62204 Ruben Wells Suite 788,Markmouth,IN,19120,2022-02-25
CUST_000020,Holly,Young,Holly Young,54,M,hollyyoung@hotmail.com,684-997-9341,2418 Michael Land Apt. 720,Taramouth,NV,81557,2021-04-18
CUST_000021,George,Rodriguez,George Rodriguez,37,M,george.rodriguez@garcia.info,001-642-227-1414x62707,24277 Wheeler Summit Apt. 048,New Timothyton,ME,71752,2021-03-27
CUST_000022,Laura,Lopez,Laura Lopez,43,F,lauralopez@gmail.com,6909235103,32153 Dylan Parkway,West Ruben,GU,05849,2020-11-09
CUST_000023,Katelyn,Aguilar,Katelyn Aguilar,35,O,katelyn_aguilar@hotmail.com,578-726-0603,6967 Li Unions Apt. 363,Carrieview,LA,82042,2020-12-08
CUST_000024,Christine,Harrison,Christine Harrison,48,M,christine_harrison@gmail.com,+1-591-742-8379x2040,2450 Smith Flat,East Amberfort,CA,40374,2023-10-25
CUST_000025,Jim,Becker,Jim Becker,18,F,jim_becker@hotmail.com,001-706-309-1483,46967 Walker Courts,Lake Kimberly,GU,38592,2024-11-08
CUST_000026,Rebecca,Moses,Rebecca Moses,22,F,rebecca.moses@saunders.net,(651)489-3535,8472 Ashley Stream Suite 659,Jasmineborough,NJ,84926,2022-02-04
CUST_000027,Rebecca,Sims,Rebecca Sims,38,O,rsims@herrera.com,(894)353-6663x6183,051 Rowe Falls Apt. 543,East Alicia,NV,01092,2022-08-20
CUST_000028,Michael,Schneider,Michael Schneider,68,O,mschneider@schultz.com,544-568-0150x33935,7812 Jennifer Drive Suite 974,Boydport,AK,92169,2021-12-02
CUST_000029,Sarah,Chase,Sarah Chase,73,M,schase@ware.com,(930)783-0498x97764,229 Baxter Ville,West Jasonbury,NJ,80133,2024-11-01
CUST_000030,Angel,Hill,Angel Hill,22,M,angel.hill@ellis.com,666-991-8518x9792,07631 Justin Brook,Castanedachester,RI,71432,2021-11-09
CUST_000031,Julie,Rogers,Julie Rogers,23,F,jrogers@hart.com,9612721530,903 Ashley Shoals Suite 421,Lisafort,MA,12088,2025-04-11
CUST_000032,Dawn,Robinson,Dawn Robinson,34,F,dawn_robinson@yahoo.com,(414)342-7035x375,5454 Davis Corner,Millerchester,MI,45261,2021-01-18
CUST_000033,William,Stewart,William Stewart,61,F,william_stewart@hotmail.com,457.395.7152x61972,017 Gallegos Lodge,Dillonmouth,AK,78082,2025-03-21
CUST_000034,Christopher,Oconnor,Christopher Oconnor,52,O,christopheroconnor@yahoo.com,231-206-6077x8184,1708 Elliott Mills Suite 948,South William,TN,33186,2020-12-13
CUST_000035,Carrie,Horton,Carrie Horton,41,F,carrie.horton@smith.com,(835)857-7681x49581,21498 Ortega Locks Apt. 783,Fosterstad,AK,36188,2022-01-09
CUST_000036,Robert,Cruz,Robert Cruz,79,M,robert_cruz@gmail.com,662-763-1093,83103 Estes Hollow Suite 565,Port David,WV,92483,2024-08-25
CUST_000037,Jamie,Burton,Jamie Burton,80,O,jburton@brooks.biz,866.503.0609x36990,9879 Phillips Lake,Erichaven,NH,37941,2022-02-27
CUST_000038,Andrea,Shelton,Andrea Shelton,25,M,andreashelton@gmail.com,001-787-450-2294,000 King Rue,New Saraville,CT,82358,2024-09-17
CUST_000039,Amanda,Keller,Amanda Keller,69,O,akeller@williams-anderson.com,001-364-577-9977x1874,6359 Joseph Squares Apt. 356,Joshuamouth,ME,71772,2025-03-29
CUST_000040,Lisa,Bradley,Lisa Bradley,21,F,lbradley@thomas.com,+1-887-810-6314x4068,8315 Kathleen Throughway,Ericmouth,ID,69135,2024-07-12
CUST_000041,John,Adkins,John Adkins,20,M,john_adkins@gmail.com,(935)355-1035x369,78575 Joshua Path Apt. 926,Melanieshire,OK,05910,2021-12-01
CUST_000042,Carlos,Price,Carlos Price,43,O,carlos_price@yahoo.com,991-243-5112x7831,6043 Richardson Cape Suite 788,Tanyahaven,MA,85386,2023-03-15
CUST_000043,Tiffany,Clark,Tiffany Clark,28,O,tiffany.clark@harris.com,433-868-5498x24664,7290 Aaron Skyway Apt. 651,East Shelby,SC,75882,2021-10-19
CUST_000044,Amanda,Bell,Amanda Bell,36,O,amanda.bell@walker-riley.com,+1-362-918-3121x236,49075 Daniels Lodge,Williamville,MH,34819,2021-08-25
