customer_id,first_name,last_name,age,gender,education,employment_status,job_title,company,sector,income,marital_status,customer_segment,credit_score,account_balance,loyalty_score,preferred_contact,email,phone,address,registration_date,years_as_customer
CUST_000001,Ashley,Price,66,M,Masters,Retired,,,,62312,Married,Silver,710,2890.69,5.9,Phone,ashley.price@hotmail.com,409.539.4620x53061,"99337 Ryan Square Apt. 328, East Elizabeth, TN 84270",2023-09-24,1.9
CUST_000002,Eric,Powell,74,F,PhD,Retired,,,,73329,Married,Gold,749,5830.1,9.5,Mail,eric.powell@gmail.com,(896)315-3931,"4123 Eric River, Mooreton, NH 36368",2020-08-14,5.0
CUST_000003,Samantha,Taylor,50,O,Some College,Self-Employed,Bank Manager,Watts Group,Finance,63889,Married,Silver,700,2539.98,6.7,Email,samantha.taylor@hotmail.com,657.798.1829,"486 Smith Key Apt. 436, Leestad, VT 81072",2022-04-13,3.3
CUST_000004,Stephen,Adams,51,M,PhD,Self-Employed,School Counselor,Lewis Ltd,Education,136481,Married,Platinum,748,29765.46,10.0,SMS,stephen.adams@gmail.com,(284)536-6780x6359,"63180 Roach Lights, Richardsonview, NC 94964",2022-03-20,3.4
CUST_000005,Thomas,Smith,25,M,PhD,Employed,Pharmacist,Reyes Group,Healthcare,70051,Married,Gold,718,1888.44,7.7,SMS,thomas.smith@gmail.com,(248)542-2394x3248,"3713 Conrad Rapids, Wellschester, KY 49859",2024-04-14,1.3
CUST_000006,Laura,Fox,60,F,Masters,Employed,Software Engineer,Anderson Group,Technology,97718,Married,Gold,792,9029.27,9.1,Phone,laura.fox@yahoo.com,333.635.7483x8877,"4963 Michael Roads, New John, PA 94851",2021-06-29,4.1
CUST_000007,Robert,Franco,74,F,Masters,Retired,,,,77879,Single,Gold,761,1842.9,8.5,Phone,robert.franco@hotmail.com,001-270-788-8914,"27983 Lisa Mount, Lake Timothyfurt, MT 59796",2022-07-09,3.1
CUST_000008,Maria,Mclaughlin,23,O,Bachelors,Employed,Professor,"Harris, Rubio and Garcia",Education,41622,Single,Silver,697,1251.19,7.0,App,maria.mclaughlin@gmail.com,829-542-6336,"USNV King, FPO AA 46962",2021-07-21,4.1
CUST_000009,Danielle,Marshall,33,F,Masters,Employed,Cashier,Griffin LLC,Retail,80933,Married,Gold,677,4284.37,7.5,Email,danielle.marshall@yahoo.com,(669)670-1138x371,"44196 Sarah Drive, North Douglastown, NE 19009",2024-09-11,0.9
CUST_000010,Sharon,Lane,25,M,Some College,Employed,DevOps Engineer,Wiggins and Sons,Technology,56686,Married,Silver,717,662.06,7.3,Email,sharon.lane@hotmail.com,7192122922,"564 Stacey Passage Apt. 043, Amandastad, WA 21698",2020-11-29,4.7
CUST_000011,Margaret,English,61,M,Bachelors,Employed,Software Engineer,Baker-Rodriguez,Technology,93015,Divorced,Gold,701,3323.88,8.3,Mail,margaret.english@hotmail.com,001-917-606-3941,"7337 Phillips Glen, Jacobport, FM 98512",2023-01-01,2.6
CUST_000012,Alyssa,Woods,72,M,Some College,Retired,,,,41217,Married,Silver,697,592.15,5.8,Email,alyssa.woods@gmail.com,+1-563-342-5062x16446,"PSC 8817, Box 3259, APO AP 73086",2024-02-03,1.5
CUST_000013,Nancy,Daugherty,58,M,Bachelors,Self-Employed,Medical Technician,Maynard Group,Healthcare,91759,Married,Gold,746,4585.88,8.9,Phone,nancy.daugherty@hotmail.com,778.457.7563x527,"10573 Brown Plain Apt. 783, Scotttown, CT 80048",2021-10-10,3.8
CUST_000014,Nancy,Lester,52,M,Some College,Self-Employed,Nurse,Shea-Huber,Healthcare,85255,Married,Gold,695,4734.32,9.0,SMS,nancy.lester@gmail.com,(811)396-1667x59177,"781 Vaughan Prairie, New Kristiside, NE 22962",2021-08-05,4.0
CUST_000015,Garrett,Gilmore,32,M,Masters,Employed,DevOps Engineer,"Gray, Pierce and Avila",Technology,75411,Married,Gold,682,2408.45,7.9,Phone,garrett.gilmore@yahoo.com,584-876-0337,"904 Robert Loaf, Wrightview, MH 61614",2023-09-24,1.9
CUST_000016,Andrew,Jones,50,O,PhD,Employed,Sales Associate,"Reynolds, Paul and Robbins",Retail,110411,Divorced,Gold,736,6340.27,8.7,Email,andrew.jones@yahoo.com,408.664.0520x6202,"83159 Glenn Stream, Lake Katelyn, KY 32972",2022-03-09,3.4
CUST_000017,Ryan,Gutierrez,50,M,Masters,Employed,Cashier,"Mckenzie, Miller and Hunt",Retail,103958,Married,Gold,722,5492.38,8.2,Phone,ryan.gutierrez@hotmail.com,991.879.8104x929,"60263 Jacobs Knoll Apt. 530, North Josephborough, KY 07430",2023-03-07,2.4
CUST_000018,Jason,Garcia,76,F,Masters,Retired,,,,58107,Married,Silver,690,2984.79,6.5,Email,jason.garcia@gmail.com,(666)415-6150x00324,"25023 Steven Mountains, North Reginafort, DC 18009",2022-07-08,3.1
CUST_000019,Lori,Williams,28,M,Masters,Unemployed,,,,12445,Married,Bronze,592,119.84,4.4,Email,lori.williams@yahoo.com,(413)942-3844,"6918 Moore Road Suite 910, Melissaland, OR 93271",2022-11-23,2.7
CUST_000020,Jeffery,Cummings,61,M,PhD,Employed,Investment Advisor,Brown Ltd,Finance,108284,Single,Gold,771,10950.87,7.8,Mail,jeffery.cummings@gmail.com,(407)969-5516x93138,"693 Anderson Heights, Smithport, MT 74437",2024-01-17,1.6
CUST_000021,Mark,Salas,65,O,Bachelors,Employed,Sales Associate,Evans-Wilcox,Retail,81708,Divorced,Gold,706,1710.33,9.1,Phone,mark.salas@hotmail.com,863.853.5756,"8539 Edward Grove, Millerchester, FL 46266",2021-06-15,4.2
CUST_000022,Sarah,Oneal,38,O,Masters,Employed,Teacher,Marquez and Sons,Education,61812,Single,Silver,680,1810.59,5.2,Phone,sarah.oneal@hotmail.com,(446)862-9247,"587 Thomas Branch, Harriston, IA 09016",2025-03-05,0.4
CUST_000023,Patrick,Oliver,41,F,Some College,Self-Employed,Software Engineer,"Clark, Robinson and Chavez",Technology,72181,Married,Gold,700,3708.33,7.4,SMS,patrick.oliver@yahoo.com,+1-832-886-2865x62003,"800 Michelle Prairie Suite 627, Adamsfurt, NJ 29176",2024-11-11,0.7
CUST_000024,Jennifer,Bray,36,O,Bachelors,Employed,Data Scientist,Mccarthy and Sons,Technology,51963,Single,Silver,755,1507.17,6.6,SMS,jennifer.bray@hotmail.com,693-476-4929x63795,"4231 Austin Extensions Suite 337, North Patrick, NH 61877",2022-04-30,3.3
CUST_000025,Jose,Grant,64,O,Some College,Employed,Bank Manager,"Hall, Ford and Atkins",Finance,72211,Widowed,Gold,744,8588.83,8.8,Phone,jose.grant@hotmail.com,598-221-0003,"94635 Kathryn Knoll Suite 746, Port Edwardfurt, ND 12384",2021-12-11,3.7
CUST_000026,Michelle,White,65,O,Some College,Self-Employed,Sales Associate,Mccullough LLC,Retail,94524,Divorced,Gold,698,6486.0,8.1,Phone,michelle.white@gmail.com,9394352598,"65894 Gonzalez Crossing Apt. 446, Robinsonborough, VT 02458",2023-05-29,2.2
CUST_000027,Allison,Barnes,21,M,Some College,Student,,,,2480,Married,Bronze,699,50.3,4.3,SMS,allison.barnes@gmail.com,(703)571-4050x119,"5497 Linda Curve, South Todd, MP 83962",2023-02-03,2.5
