customer_id,first_name,last_name,email,phone,address,age,gender,education,employment_status,marital_status,region,income,credit_score,account_balance,monthly_spend,num_transactions,days_since_last_purchase,satisfaction_score,loyalty_years,website_visits,customer_segment,registration_date
CUST_000001,Mark,Johnson,mjohnson@yahoo.com,533-521-8196x001,"386 Shane Harbors, Port Lindachester, MA 36922",41,M,Bachelor's,Employed,Single,East,20477,575,2060.7,365.78,7,5,6.2,2.4,2,Low_Income_Medium_Spend,2021-12-15
CUST_000002,Christopher,Bernard,christopher_bernard@outlook.com,311-661-5594x07816,"310 Kendra Common Apt. 164, Reidstad, GA 49021",69,M,High School,Employed,Married,Central,25455,623,7199.87,662.12,20,26,8.7,4.8,14,Low_Income_High_Spend,2023-05-29
CUST_000003,Henry,Santiago,hsantiago@yahoo.com,001-719-228-3276x483,"6413 Lewis Parks, Wilkersonmouth, FL 35219",54,M,Bachelor's,Retired,Divorced,West,63137,596,8891.72,479.43,9,87,2.9,0.9,16,Medium_Income_Medium_Spend,2021-07-03
CUST_000004,Brenda,Mcgee,brendamcgee@gmail.com,+1-949-369-6532,"26916 Carlson Mountain, Tashatown, TX 94967",49,F,Some College,Employed,Divorced,South,24722,574,2110.99,128.35,7,93,6.1,1.6,5,Low_Income_Low_Spend,2021-06-02
CUST_000005,Ashley,Dyer,adyer@yahoo.com,001-645-514-6270x48281,"809 Burns Creek, Natashaport, IA 08093",32,F,Some College,Employed,Widowed,Central,97476,772,32959.94,192.96,11,4,8.8,4.4,20,High_Income_Low_Spend,2021-06-23
CUST_000006,Cynthia,Bradley,cynthia_bradley@outlook.com,417-618-2278,"83465 Lam Mission Apt. 331, Andrewside, IN 77629",32,F,Some College,Employed,Single,North,47911,379,289.13,394.11,16,64,4.2,0.3,19,Medium_Income_Low_Spend,2020-01-26
CUST_000007,Connie,Jones,cjones@yahoo.com,+1-403-910-5183x4738,"3116 Henderson Mountain Apt. 106, Laurenville, IA 25613",25,F,Bachelor's,Employed,Married,East,52635,488,1563.11,673.38,11,13,8.1,3.2,17,Medium_Income_Medium_Spend,2021-08-24
CUST_000008,Connor,West,connor.west@email.com,(424)873-1781x08013,"0260 Baker Tunnel, Mitchellside, TN 94664",61,M,Graduate,Employed,Married,East,42309,778,201.42,156.41,6,16,9.0,4.9,4,Medium_Income_Low_Spend,2021-08-18
CUST_000009,John,Lee,john.lee@email.com,909.480.5009,"19136 Shelly Port, New Brooke, RI 11246",49,M,Some College,Employed,Married,Central,79498,713,12490.67,730.57,18,15,4.0,0.2,8,High_Income_Medium_Spend,2022-01-07
CUST_000010,Jennifer,Silva,jennifer_silva@outlook.com,954.335.3462x47510,"425 Natasha Land, Ericside, VT 40152",53,F,Some College,Employed,Married,West,79991,700,10160.23,93.93,5,16,5.5,1.4,8,High_Income_Low_Spend,2023-08-16
CUST_000011,Logan,Archer,logan.archer@email.com,+1-680-584-1241x1824,"487 Whitehead Vista, North Cynthiaview, AZ 00965",21,M,Graduate,Retired,Single,West,61133,674,4519.29,637.44,20,80,5.9,2.4,8,Medium_Income_Medium_Spend,2022-06-18
CUST_000012,Gavin,Anderson,gavinanderson@gmail.com,727-486-8011x280,"5053 Elizabeth Knoll, Dicksonberg, IA 21800",72,M,Bachelor's,Retired,Married,East,70168,445,1958.58,390.97,12,109,8.2,8.7,5,High_Income_Low_Spend,2022-04-29
CUST_000013,Vanessa,Cochran,vanessa.cochran@email.com,(902)756-3421x60733,"03654 Tammy Harbors, Darlenefurt, TX 70783",59,F,Some College,Employed,Married,West,44026,686,6625.18,76.59,6,45,7.3,0.4,9,Medium_Income_Low_Spend,2020-08-21
CUST_000014,Erin,Johnson,ejohnson@yahoo.com,329-840-1965x569,"PSC 3406, Box 0883, APO AA 57032",34,F,Some College,Employed,Single,West,69224,515,2245.48,572.45,8,51,6.6,5.9,20,High_Income_Medium_Spend,2023-07-04
CUST_000015,Benjamin,Beck,benjaminbeck@gmail.com,895-814-8465x64823,"946 Kevin Fords, Floydmouth, NH 58406",33,M,Some College,Student,Single,West,40825,657,8110.86,896.92,15,21,6.4,0.8,1,Medium_Income_High_Spend,2023-10-23
CUST_000016,Jessica,Lewis,jessica.lewis@email.com,221.248.9513x4332,"176 Jennifer Lights Suite 632, Port Michelleville, WI 56225",33,F,Some College,Employed,Single,Central,50067,527,964.8,287.97,12,22,7.3,4.4,11,Medium_Income_Low_Spend,2022-02-23
CUST_000017,Colleen,Brock,colleen_brock@outlook.com,001-787-908-3172x788,"727 Green Gateway Suite 873, Scottport, IA 36115",38,F,Bachelor's,Employed,Married,Central,42404,806,1054.13,487.2,14,32,5.2,3.9,10,Medium_Income_Medium_Spend,2021-01-21
